prec,tmin,tmax,rhum,srad,wspd
,-3.316,14.918,84.663,175.84,6.663
,-12.46,10.418,81.788,174.908,7.477
,-14.944,2.138,81.65,101.048,5.79
,-0.724,8.15,87.16,197.071,5.809
,-19.462,6.512,84.898,161.924,3.147
,-17.32,10.886,84.807,200.776,3.08
,3.902,15.746,86.472,77.916,10.739
,-6.052,6.98,81.89,193.724,20.006
,-8.302,1.184,80.242,148.64,10.62
,-8.068,4.712,85.35,210.573,4.871
,-8.662,25.691,82.886,201.995,7.595
,3.182,25.801,88.581,196.609,5.999
,-1.066,23.45,94.514,149.658,6.025
,16.466,39.173,88.203,225.385,6.535
,12.434,35.98,93.506,212.446,5.719
,15.278,22.964,99.403,132.438,3.896
,12.542,33.388,98.892,155.609,6.496
,28.182,32.095,100,91.272,6.164
,23.558,28.774,100,86.87,5.062
,25.336,32.214,100,58.299,6.069
,31.501,33.388,100,58.025,6.309
,30.909,33.624,100,71.154,5.012
,28.893,38.01,100,52.48,13.257
,33.152,42.147,97.912,63.893,12.296
,24.991,33.744,83.231,127.962,14.967
,16.7,26.166,77.009,135.476,20.815
,13.136,22.134,79.07,253.432,9.318
,14.216,27.7,81.305,175.442,6.58
,2.84,15.17,72.151,211.694,7.08
,4.964,19.166,73.424,240.635,5.531
,6.512,26.866,76.53,191.024,4.524
,15.746,25.095,83.197,223.324,6.599
,17.654,29.368,93.395,69.532,6.593
,6.98,22.015,82.786,274.004,6.515
,6.746,35.407,84.212,200.554,8.246
,29.485,34.81,96.168,58.763,7.659
,28.182,30.542,100,165.852,8.795
,27.826,32.32,100,175.755,4.931
,27.234,33.73,99.986,180.444,5.136
,-2.146,31.383,83.96,260.397,10.973
,-3.082,21.902,87.26,278.288,12.501
,-6.412,20.829,86.074,319.926,3.961
,16.34,31.242,88.286,229.644,5.094
,13.964,30.058,92.29,235.515,5.577
,17.87,33.031,90.929,178.804,8.349
,6.638,18.59,85.182,244.021,15.046
,12.326,19.058,81.779,270.229,15.486
,9.356,25.335,81.796,258.521,10.513
,0.698,32.545,71.747,353.36,4.17
,4.028,34.797,68.749,322.457,4.747
,21.313,26.523,91.576,128.722,10.067
,22.026,29.831,90.335,212.798,8.323
,17.888,28.528,85.609,232.915,12.727
,4.262,23.083,88.143,277.184,7.408
,2.138,22.134,78.033,354.579,9.309
,-7.006,20.71,71.078,383.491,4.256
,-0.238,23.913,70.362,325.211,6.353
,16.34,31.478,73,367.094,5.869
,13.622,32.072,82.234,375.829,6.147
,9.356,31.953,82.843,294.926,5.332
,16.34,35.508,79.299,367.758,7.109
,9.482,37.879,79.974,383.889,3.674
,11.372,39.763,78.048,384.575,3.241
,22.737,45.338,80.583,380.781,6.156
,29.25,44.269,70.255,332.13,11.433
,34.099,49.01,88.761,232.048,8.966
,33.505,40.368,95.88,99.054,5.819
,33.624,49.712,96.51,133.429,9.288
,35.758,46.274,100,69.049,9.894
,34.099,43.569,97.567,117.211,6.636
,31.975,36.351,99.515,90.765,11.779
,32.092,40.606,98.254,83.083,12.203
,33.98,44.636,97.137,126.157,12.475
,36.707,44.163,98.973,91.537,12.004
,35.758,45.806,94.567,136.715,12.333
,33.624,42.858,89.76,136.734,10.254
,31.5,53.726,84.923,304.714,6.71
,28.537,64.976,64.614,437.599,7.816
,27.471,46.778,88.476,58.967,15.635
,22.383,32.675,80.249,354.661,13.615
,15.638,48.164,65.141,492.147,4.728
,19.9,60.962,54.592,411.309,9.069
,27.707,56.462,75.024,335.479,9.107
,34.106,53.258,69.104,171.096,12.493
,27.709,55.04,66.435,487.043,7.688
,29.25,59.306,56.477,394.144,12.35
,38.118,46.994,87.841,133.154,11.465
,32.806,57.884,67.465,505.284,10.466
,29.485,73.49,54.086,478.016,10.672
,47.588,75.848,46.433,442.644,13.664
,43.333,78.44,48.241,437.83,10.036
,49.01,86.612,54.417,419.325,12.127
,35.875,69.242,55.294,380.963,12.562
,26.058,66.038,45.309,478.372,10.41
,35.757,66.992,49.999,336.755,4.342
,34.572,61.556,69.872,139.745,7.992
,43.452,64.148,98.195,186.237,11.696
,30.434,55.4,63.674,299.909,17.339
,25.462,62.96,44.13,572.27,6.638
,32.331,74.192,45.349,557.598,7.998
,40.019,66.272,44.341,472.299,10.111
,42.622,74.552,51.033,422.427,9.381
,56.462,83.894,61.536,517.052,11.66
,55.868,81.158,53.746,492.86,15.451
0,59.9,78.224,62.599,229.288,12.668
0.11,56.462,75.848,74.885,270.675,8.136
0,40.249,62.006,58.623,410.297,10.82
0,33.031,64.742,41.741,589.862,6.131
0,31.858,65.912,48.989,434.917,3.745
0,31.62,70.754,48.147,514.664,3.755
0,45.356,68.99,58.85,266.154,4.434
0.4,46.886,65.786,86.085,314.344,4.396
0,43.452,67.568,84.429,323.706,7.977
1.7,52.412,73.724,90.867,246.88,10.732
0,48.65,70.286,74.872,423.603,8.566
0,49.838,56.57,86.278,103.774,14.428
0.17,41.079,50.792,85.748,208.717,14.561
0,42.147,63.554,72.682,521.801,7.729
0,39.789,72.77,58.593,581.953,14.895
0.68,53.978,81.986,60.626,592.27,13.845
0.02,43.925,68.054,69.277,429.928,9.571
0,41.792,71.348,51.141,628.347,10.247
0.17,42.147,73.256,55.114,480.749,7.373
0,39.312,69.458,66.361,549.465,7.371
0,46.418,83.768,50.862,632.245,13.251
0,43.214,67.694,47.744,658.041,8.774
0.13,39.542,67.694,56.698,480.049,10.378
0.26,39.661,55.04,67.657,515.814,15.906
0,35.047,58.1,53.926,704.48,7.629
0,38.248,60.602,58.326,365.509,10.344
0.62,46.76,52.916,86.799,42.099,12.832
0,46.868,56.102,82.773,285.009,9.431
0.65,43.925,49.37,94.095,92.67,10.708
0,42.147,61.178,76.134,475.266,9.064
0,36.826,70.052,54.586,680.619,3.554
0,44.398,70.646,61.914,593.917,6.844
0,48.056,61.088,81.064,96.985,6.484
0,47.588,67.802,77.229,352.124,5.338
0,41.198,75.128,62.74,732.733,3.902
0,49.712,71.348,59.852,453.649,10.238
0.63,55.148,59.9,94.465,85.739,7.558
0,55.508,74.894,79.661,537.601,4.492
0.01,59.774,87.908,71.522,483.349,16.377
0,71.114,89.582,71.57,624.223,11.811
0,66.74,88.988,63.883,625.117,14.657
0.01,63.086,80.096,67.038,446.588,5.91
0,58.118,82.346,75.038,352.016,5.242
0,57.884,85.316,49.099,762.139,6.434
0,53.636,87.8,50.681,771.257,6.229
0,63.788,89.456,52.834,745.679,9.893
0,57.398,75.146,64.454,395.903,8.324
0,46.886,84.956,52.19,787.562,5.285
0.75,58.712,87.08,79.079,308.842,7.107
0.03,56.822,75.956,77.4,638.169,6.673
0.3,51.026,84.362,69.451,666.176,7.105
0,64.382,86.738,73.717,687.586,5.031
0.9,61.322,86.612,80.917,620.741,10.101
0,58.82,83.768,55.112,674.63,6.788
0.11,59.774,77.612,75.308,424.516,5.757
0.76,61.556,81.158,81.719,565.344,8.475
0,56.822,87.44,61.921,736.514,3.854
0.9,65.678,80.564,83.745,338.838,10.212
0.16,65.57,86.252,82.587,541.841,9.111
0.29,67.226,81.644,83.328,473.923,5.967
0.3,63.428,73.364,90.838,254.213,7.854
0.4,63.32,76.658,88.375,569.724,5.852
0,60.476,78.566,77.899,448.497,5.017
0,59.414,91.112,70.875,514.695,8.141
0.11,69.242,95.126,65.896,447.408,11.68
0.08,59.756,85.784,79.395,568.551,5.32
0.01,62.15,83.534,73.267,554.416,7.063
0.94,65.912,75.02,87.572,98.018,8.906
1.91,64.148,87.908,82.885,666.49,6.405
0.5,70.07,91.346,81.039,515.929,9.494
0.26,64.85,80.33,76.61,704.162,8.178
0,60.134,81.518,74.274,693.107,4.152
0,64.022,93.236,71.418,703.952,9.247
0,74.678,94.658,73.83,719.285,10.158
0.04,64.148,83.426,73.845,579.31,8.081
0,59.774,87.206,62.463,,4.737
0,57.29,81.158,65.494,,4.749
0,57.416,83.768,65.966,721.031,6.656
0,60.962,87.44,63.137,734.731,8.557
0,62.834,88.16,66.376,551.488,10.041
0,70.178,88.736,75.317,488.122,10.873
2.08,65.678,77.036,94.208,150.233,5.416
0.01,62.6,79.628,92.308,340.662,4.148
0.01,62.726,86.612,79.533,751.168,3.559
0,67.1,79.502,91.932,369.659,5.159
0,62.492,80.33,78.052,592.113,4.697
0,58.478,85.91,66.997,749.035,3.143
0,59.774,87.908,72.3,722.358,6.206
0.79,65.21,84.488,83.986,607.479,5.59
0.19,65.444,78.8,93.665,228.068,3.088
0,65.336,89.816,84.041,662.679,7.819
