name,file,required,NAok
carob_contributor,carob-metadata,yes,no
carob_date,carob-metadata,yes,no
carob_group,carob-metadata,yes,no
crop,crop,!survey;soil_samples,yes
is_survey,crop,yes,no
on_farm,crop,yes,yes
trial_id,crop,!survey;soil_samples,yes
yield,crop,!survey;soil_samples,no
yield_moisture,crop,!survey;soil_samples,yes
yield_part,crop,!survey;soil_samples,no
dataset_id,general,yes,no
record_id,general,no,no
country,location,yes,no
geo_from_source,location,yes,yes
latitude,location,yes,no
location_id,location,no,no
longitude,location,yes,no
irrigated,management,!survey;soil_samples,yes
K_fertilizer,management,!survey;soil_samples,yes
N_fertilizer,management,!survey;soil_samples,yes
P_fertilizer,management,!survey;soil_samples,yes
planting_date,management,!survey;soil_samples,yes
authors,metadata,yes,no
data_citation,metadata,yes,no
data_organization,metadata,yes,yes
data_type,metadata,yes,no
dataset_id,metadata,yes,no
description,metadata,yes,no
license,metadata,yes,no
project,metadata,yes,yes
publication,metadata,yes,yes
response_vars,metadata,yes,no
title,metadata,yes,no
treatment_vars,metadata,yes,no
uri,metadata,yes,no
sample_id,soil,no,no
hhid,survey,survey,no
